index,price,change,perc_change
Gold Jun 05,73825.0,-542.0,-0.73
Silver Jul 05,93506.0,-1761.0,-1.85
Crudeoil Jun 18,6587.0,8.0,0.12
Naturalgas May 28,228.3,1.2,0.53
